,Title,Link,Author,Rating,Score
176,"Frostbite (Vampire Academy, #2)",https://goodreads.com/book/show/2282133.Frostbite,Richelle Mead,4.26,"97,010"
177,The Haunting of Hill House,https://goodreads.com/book/show/89717.The_Haunting_of_Hill_House,Shirley Jackson,3.82,"96,323"
178,Tess of the D'Urbervilles,https://goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles,Thomas Hardy,3.83,"94,144"
179,Heart of Darkness,https://goodreads.com/book/show/4900.Heart_of_Darkness,Joseph Conrad,3.43,"93,853"
180,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",https://goodreads.com/book/show/7938275-the-hunger-games-trilogy-boxset,Suzanne Collins,4.49,"93,712"
181,"Blood Promise (Vampire Academy, #4)",https://goodreads.com/book/show/5996153-blood-promise,Richelle Mead,4.31,"92,026"
182,"Throne of Glass (Throne of Glass, #1)",https://goodreads.com/book/show/7896527-throne-of-glass,Sarah J. Maas,4.19,"91,824"
183,Bridge to Terabithia,https://goodreads.com/book/show/40940121-bridge-to-terabithia,Katherine Paterson,4.04,"91,741"
184,The Prophet,https://goodreads.com/book/show/2547.The_Prophet,Kahlil Gibran,4.23,"91,659"
185,"Murder on the Orient Express (Hercule Poirot, #10)",https://goodreads.com/book/show/853510.Murder_on_the_Orient_Express,Agatha Christie,4.20,"90,439"
186,"The Good Earth (House of Earth, #1)",https://goodreads.com/book/show/1078.The_Good_Earth,Pearl S. Buck,4.00,"90,437"
187,The Call of the Wild,https://goodreads.com/book/show/1852.The_Call_of_the_Wild,Jack London,3.90,"89,575"
188,The Secret History,https://goodreads.com/book/show/29044.The_Secret_History,Donna Tartt,4.17,"89,027"
189,The Joy Luck Club,https://goodreads.com/book/show/7763.The_Joy_Luck_Club,Amy Tan,3.97,"88,949"
190,Alice in Wonderland,https://goodreads.com/book/show/13023.Alice_in_Wonderland,Jane Carruth,4.03,"88,607"
191,The Phantom Tollbooth,https://goodreads.com/book/show/378.The_Phantom_Tollbooth,Norton Juster,4.19,"87,713"
192,"The Silence of the Lambs  (Hannibal Lecter, #2)",https://goodreads.com/book/show/23807.The_Silence_of_the_Lambs,Thomas  Harris,4.24,"87,633"
193,"Oh, the Places You'll Go!",https://goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_,Dr. Seuss,4.36,"87,247"
194,Madame Bovary,https://goodreads.com/book/show/2175.Madame_Bovary,Gustave Flaubert,3.70,"87,076"
195,"The Mists of Avalon (Avalon, #1)",https://goodreads.com/book/show/40605251-the-mists-of-avalon,Marion Zimmer Bradley,4.13,"87,045"
196,Oliver Twist,https://goodreads.com/book/show/18254.Oliver_Twist,Charles Dickens,3.88,"86,144"
197,The Neverending Story,https://goodreads.com/book/show/27712.The_Neverending_Story,Michael Ende,4.18,"86,012"
198,The Night Circus,https://goodreads.com/book/show/9361589-the-night-circus,Erin Morgenstern,4.02,"85,977"
199,"The Selection (The Selection, #1)",https://goodreads.com/book/show/10507293-the-selection,Kiera Cass,4.08,"85,705"
200,Treasure Island,https://goodreads.com/book/show/295.Treasure_Island,Robert Louis Stevenson,3.84,"85,694"
201,Jonathan Livingston Seagull,https://goodreads.com/book/show/71728.Jonathan_Livingston_Seagull,Richard Bach,3.85,"85,473"
202,A Story of Yesterday,https://goodreads.com/book/show/58913358-a-story-of-yesterday,Sergio Cobo,4.59,"84,062"
203,"The Girl Who Played with Fire (Millennium, #2)",https://goodreads.com/book/show/5060378-the-girl-who-played-with-fire,Stieg Larsson,4.25,"83,633"
204,The Song of Achilles,https://goodreads.com/book/show/13623848-the-song-of-achilles,Madeline Miller,4.34,"83,538"
205,Ulysses,https://goodreads.com/book/show/338798.Ulysses,James Joyce,3.75,"83,145"
206,"A Storm of Swords (A Song of Ice and Fire, #3)",https://goodreads.com/book/show/62291.A_Storm_of_Swords,George R.R. Martin,4.54,"81,707"
207,"Fifty Shades of Grey (Fifty Shades, #1)",https://goodreads.com/book/show/10818853-fifty-shades-of-grey,E.L. James,3.66,"81,328"
208,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",https://goodreads.com/book/show/17927395-a-court-of-mist-and-fury,Sarah J. Maas,4.64,"80,743"
209,The Boy in the Striped Pajamas,https://goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas,John Boyne,4.15,"80,260"
210,The Diary of a Young Girl,https://goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,Anne Frank,4.19,"79,644"
211,"The Clan of the Cave Bear (Earth's Children, #1)",https://goodreads.com/book/show/40611463-the-clan-of-the-cave-bear,Jean M. Auel,4.09,"78,785"
212,"Jurassic Park (Jurassic Park, #1)",https://goodreads.com/book/show/40604658-jurassic-park,Michael Crichton,4.09,"78,250"
213,Beloved,https://goodreads.com/book/show/6149.Beloved,Toni Morrison,3.94,"77,962"
214,A Farewell to Arms,https://goodreads.com/book/show/10799.A_Farewell_to_Arms,Ernest Hemingway,3.82,"77,536"
215,Misery,https://goodreads.com/book/show/10614.Misery,Stephen King,4.21,"77,483"
216,The Canterbury Tales,https://goodreads.com/book/show/2696.The_Canterbury_Tales,Geoffrey Chaucer,3.52,"77,322"
